stop_id,stop_name,stop_lat,stop_lon,stop_code
389,Route 175 @ Reece RD,39.11429412,-76.72544349,389
390,Charter Oaks Blvd @ Route 175,39.10508987,-76.72180246,390
391,Charter Oaks Blvd @ Commodore Dr,39.10601,-76.717845,391
392,Charter Oaks Blvd @ Town Center Blvd,39.10848952,-76.71283902,392
393,Jacobs Rd @ Stillmeadow Dr,39.11402667,-76.70923333,393
394,Pioneer Dr @ Richfield Dr,39.11533169,-76.70563763,394
395,Pioneer Dr @ Arwell Ct,39.1172729,-76.70647364,395
396,Pioneer Dr @ Deerfield Ct,39.11960672,-76.70824991,396
397,Reece Rd @ Pioneer Dr,39.12115055,-76.70856679,397
398,Meade Village Rd @ Fairbrook Ct,39.12443742,-76.70343961,398
399,Meade Village RD @ Meade Village CIR,39.12595045,-76.70542242,399
402,Snowden River Pky @ Parkview,39.19934875,-76.80799326,402
403,Snowden River Pky @ April Brook Cir,39.1989164,-76.80774649,403
414,Annapolis Rd @ Winmeyer Ave,39.08857441,-76.70095877,414
415,Odenton MARC Station (West Platform),39.08774416,-76.70706628,415
416,Route 175 @ Winmeyer Ave,39.08875273,-76.70184767,416
417,Odenton Rd @ Stoney Hill Ct,39.08116754,-76.6948749,417
418,Odenton Rd @ Bruce Ave,39.08069603,-76.69372214,418
419,Odenton Rd @ Greenwood St,39.07870898,-76.68662609,419
421,Route 175 @ Odenton Health Campus,39.08111635,-76.68845971,421
422,Odenton Rd @ Holiday St,39.07932212,-76.68866162,422
423,Odenton Rd @ Bruce Ave,39.08047071,-76.69258118,423
424,Odenton Rd @ Oakton Rd,39.0814972,-76.69508146,424
425,Odenton Rd @ Odenton Elementary School,39.08268164,-76.69702005,425
444,Reece Rd @ Pioneer Dr,39.12145685,-76.70807753,444
445,Pioneer Dr @ Deerfield Ct,39.11958231,-76.70854838,445
446,Pioneer Dr @ Arwell Ct,39.11732845,-76.70679132,446
447,Pioneer Dr @ Richfield Dr,39.1154661,-76.7057486,447
448,Jacobs Rd @ Stillmeadow Dr,39.1142,-76.70957667,448
449,Town Center Blvd @ Charter Oaks Blvd,39.10837167,-76.71305333,449
450,Charter Oaks Blvd @ Commodore Dr,39.10630333,-76.717425,450
